epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11518.5,0.65315,0.50956,1.4658,0.5626,0.37203,0.40855,0.33285,1.36233,2.09934,1.96999,0.0005941,0.0005941,0.0005941
43,11792.2,0.64845,0.50524,1.45886,0.57186,0.36784,0.39994,0.32453,1.36069,2.0737,1.98118,0.0005842,0.0005842,0.0005842
44,12065.5,0.64676,0.50707,1.45037,0.57711,0.3698,0.40332,0.32645,1.36454,2.06616,1.98293,0.0005743,0.0005743,0.0005743
45,12339.2,0.64593,0.50432,1.45705,0.56187,0.37548,0.40074,0.32091,1.35069,2.10991,1.95959,0.0005644,0.0005644,0.0005644
46,12613,0.64165,0.50076,1.455,0.56911,0.37412,0.41353,0.33244,1.34173,2.03383,1.9502,0.0005545,0.0005545,0.0005545
47,12887.2,0.63994,0.50263,1.4499,0.56658,0.37173,0.40151,0.33224,1.34184,2.06526,1.9616,0.0005446,0.0005446,0.0005446
48,13160.7,0.63625,0.49804,1.45529,0.56073,0.36992,0.40159,0.33028,1.35563,2.10851,1.95804,0.0005347,0.0005347,0.0005347
49,13434.5,0.63568,0.49809,1.44589,0.54448,0.37726,0.40758,0.3332,1.33796,2.12498,1.95084,0.0005248,0.0005248,0.0005248
50,13709,0.63165,0.49842,1.44331,0.53748,0.37628,0.40568,0.33417,1.34911,2.12411,1.94334,0.0005149,0.0005149,0.0005149
51,13985.1,0.63136,0.49401,1.43602,0.54211,0.378,0.40186,0.33093,1.33939,2.08484,1.95616,0.000505,0.000505,0.000505
52,14260.4,0.62936,0.49096,1.44751,0.55548,0.37427,0.40364,0.32889,1.34815,2.09293,1.93869,0.0004951,0.0004951,0.0004951
53,14533.2,0.62608,0.48783,1.4439,0.55047,0.37534,0.40501,0.32891,1.34312,2.06316,1.96619,0.0004852,0.0004852,0.0004852
54,14806.5,0.62331,0.48582,1.43155,0.55233,0.37576,0.40387,0.32988,1.33584,2.08179,1.94253,0.0004753,0.0004753,0.0004753
55,15081.2,0.62095,0.48131,1.442,0.5623,0.37235,0.40253,0.3317,1.34103,2.04642,1.94379,0.0004654,0.0004654,0.0004654
56,15357.7,0.61286,0.47983,1.43698,0.56354,0.37363,0.40409,0.33238,1.35002,2.03402,1.95679,0.0004555,0.0004555,0.0004555
57,15631.3,0.61843,0.48467,1.43547,0.56368,0.37409,0.40373,0.33268,1.34829,2.06027,1.96607,0.0004456,0.0004456,0.0004456
58,15905.2,0.61127,0.47633,1.44531,0.55266,0.3757,0.40214,0.33268,1.35094,2.09528,1.96946,0.0004357,0.0004357,0.0004357
59,16179.2,0.60666,0.47439,1.43939,0.55532,0.37479,0.40484,0.33452,1.34928,2.12205,1.96993,0.0004258,0.0004258,0.0004258
