epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.399,2.45206,3.34618,2.58121,0.71794,0.13747,0.13497,0.04905,2.26926,2.8032,2.73157,0.000552679,0.000552679,0.000552679
2,413.398,2.0782,2.67352,2.54028,0.71043,0.14658,0.13839,0.0448,2.24881,2.79343,3.0158,0.000888893,0.000888893,0.000888893
3,620.902,2.01139,2.57034,2.56209,0.6848,0.15317,0.16616,0.06587,2.08479,2.71952,2.83988,0.00100506,0.00100506,0.00100506
4,827.899,1.91471,2.46493,2.49346,0.35953,0.16028,0.15737,0.05936,1.92673,2.648,2.80925,0.000676802,0.000676802,0.000676802
5,1031.23,1.8455,2.39212,2.47898,0.32889,0.18566,0.18088,0.07473,1.9095,2.54497,2.7902,0.000346736,0.000346736,0.000346736
