epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,267.164,2.08026,2.90331,2.75627,0.84207,0.26559,0.32868,0.155,1.71231,2.01681,2.69587,0.0670461,0.000332868,0.000332868
2,525.412,1.4633,1.66649,2.56224,0.58376,0.56612,0.59568,0.34919,1.41297,1.3956,2.61296,0.0340395,0.000659606,0.000659606
3,782.74,1.14799,1.15,2.41762,0.87115,0.51023,0.66181,0.47698,1.23881,1.13639,2.48376,0.0010263,0.000979744,0.000979744
4,1039.68,0.95981,0.89071,2.29873,0.87285,0.57894,0.8034,0.5638,1.1582,0.97606,2.41145,0.0009703,0.0009703,0.0009703
5,1296.15,0.86102,0.77424,2.18342,0.74521,0.80016,0.84205,0.58711,1.09273,0.90454,2.30891,0.0009604,0.0009604,0.0009604
6,1552.21,0.79734,0.70495,2.04154,0.94186,0.82638,0.89568,0.66251,1.03507,0.79499,2.21679,0.0009505,0.0009505,0.0009505
7,1808.92,0.74527,0.65296,1.95559,0.91344,0.75287,0.88578,0.67928,1.04484,0.81278,2.21522,0.0009406,0.0009406,0.0009406
8,2065.94,0.70741,0.61122,1.90129,0.95009,0.74259,0.8891,0.67661,1.03602,0.80552,2.16187,0.0009307,0.0009307,0.0009307
9,2321.81,0.68111,0.58739,1.86166,0.91946,0.78848,0.9094,0.67621,0.98229,0.75652,2.21006,0.0009208,0.0009208,0.0009208
10,2578.07,0.65755,0.56504,1.83179,0.88383,0.80547,0.89809,0.68317,0.99129,0.73176,2.22018,0.0009109,0.0009109,0.0009109
11,2834.58,0.64182,0.54745,1.80311,0.83784,0.89624,0.88304,0.6559,0.9907,0.75511,2.51519,0.000901,0.000901,0.000901
12,3091.11,0.62461,0.5338,1.78267,0.87715,0.76831,0.88971,0.67642,0.97489,0.7523,2.5022,0.0008911,0.0008911,0.0008911
13,3347.93,0.60771,0.51611,1.75702,0.93595,0.77182,0.90015,0.67819,0.95825,0.72001,2.20812,0.0008812,0.0008812,0.0008812
14,3604.7,0.59708,0.50616,1.73955,0.87524,0.89796,0.91393,0.69838,0.96141,0.70846,2.338,0.0008713,0.0008713,0.0008713
15,3861.19,0.58378,0.49343,1.72315,0.891,0.88737,0.92457,0.69659,0.93744,0.68303,2.60671,0.0008614,0.0008614,0.0008614
16,4118.7,0.57479,0.48486,1.71442,0.92221,0.87128,0.91102,0.70677,0.91984,0.69639,2.54484,0.0008515,0.0008515,0.0008515
17,4378.68,0.56296,0.47438,1.70473,0.9293,0.87934,0.91544,0.69425,0.93847,0.68773,2.82961,0.0008416,0.0008416,0.0008416
18,4635,0.55936,0.47162,1.69679,0.93364,0.75333,0.90971,0.69903,0.91686,0.69565,2.2421,0.0008317,0.0008317,0.0008317
19,4895.91,0.54689,0.45952,1.69134,0.9732,0.85195,0.91904,0.71979,0.93181,0.66797,2.62463,0.0008218,0.0008218,0.0008218
