epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9844,0,87.5621,0,0,0,0,0,0,52.9375,0,0.00036674,0.00036674,0.00036674
2,51.9114,0,87.5236,0,0,0,0,0,0,51.8828,0,0.000742724,0.000742724,0.000742724
3,77.7354,0,87.5682,0,0,0,0,0,0,47.0781,0,0.00111112,0.00111112,0.00111112
4,103.406,0,87.5502,0,0,0,0,0,0,49.7891,0,0.00147192,0.00147192,0.00147192
5,128.481,0,87.5372,0,0,0,0,0,0,56.5938,0,0.00160099,0.00160099,0.00160099
