epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,12882.8,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000676802,0.000676802,0.000676802
62,13093.8,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000660299,0.000660299,0.000660299
63,13304.8,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000643795,0.000643795,0.000643795
64,13515.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000627292,0.000627292,0.000627292
65,13726.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000610789,0.000610789,0.000610789
66,13937.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000594286,0.000594286,0.000594286
67,14148.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000577782,0.000577782,0.000577782
68,14359.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000561279,0.000561279,0.000561279
69,14570.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000544776,0.000544776,0.000544776
70,14781.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000528272,0.000528272,0.000528272
71,14992.9,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.000511769,0.000511769,0.000511769
72,15203.9,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.000495266,0.000495266,0.000495266
73,15414.9,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.000478762,0.000478762,0.000478762
74,15625.9,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.000462259,0.000462259,0.000462259
75,15836.9,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.000445756,0.000445756,0.000445756
76,16047.9,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.000429253,0.000429253,0.000429253
77,16258.9,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.000412749,0.000412749,0.000412749
78,16469.9,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.000396246,0.000396246,0.000396246
79,16681,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.000379743,0.000379743,0.000379743
80,16892,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.000363239,0.000363239,0.000363239
81,17103,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.000346736,0.000346736,0.000346736
82,17314,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.000330233,0.000330233,0.000330233
83,17525,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.000313729,0.000313729,0.000313729
84,17736,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.000297226,0.000297226,0.000297226
85,17947.1,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.000280723,0.000280723,0.000280723
86,18158.1,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.00026422,0.00026422,0.00026422
87,18369.1,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.000247716,0.000247716,0.000247716
88,18580.1,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.000231213,0.000231213,0.000231213
89,18791.1,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.00021471,0.00021471,0.00021471
90,19002.1,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.000198206,0.000198206,0.000198206
91,19213.9,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.000181703,0.000181703,0.000181703
92,19425,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.0001652,0.0001652,0.0001652
93,19636.1,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.000148696,0.000148696,0.000148696
94,19848,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.000132193,0.000132193,0.000132193
95,20059.8,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,0.00011569,0.00011569,0.00011569
96,20283.9,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,9.91865e-05,9.91865e-05,9.91865e-05
97,20514,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,8.26832e-05,8.26832e-05,8.26832e-05
98,20745.5,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,6.61799e-05,6.61799e-05,6.61799e-05
99,20976,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,4.96766e-05,4.96766e-05,4.96766e-05
100,21206.6,nan,nan,nan,1e-05,0.0004,0,0,nan,nan,nan,3.31733e-05,3.31733e-05,3.31733e-05
