epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8026.6,1.597,1.94916,2.23125,0.45968,0.2323,0.25944,0.1147,1.78437,2.19362,2.64733,0.000990365,0.000990365,0.000990365
43,8217.27,1.59193,1.94161,2.24545,0.46905,0.24499,0.25722,0.10797,1.79306,2.2231,2.59775,0.000973861,0.000973861,0.000973861
44,8407.87,1.61214,1.95475,2.24559,0.50645,0.25745,0.2742,0.12787,1.7593,2.17097,2.60841,0.000957358,0.000957358,0.000957358
45,8598.64,1.58948,1.94499,2.23177,0.44359,0.24725,0.25448,0.10633,1.78061,2.22718,2.6146,0.000940855,0.000940855,0.000940855
46,8789.14,1.58433,1.91671,2.22543,0.35542,0.2507,0.26243,0.1188,1.74158,2.18607,2.52836,0.000924352,0.000924352,0.000924352
47,8979.87,1.5716,1.90155,2.22112,0.44151,0.23575,0.25794,0.11437,1.75165,2.19272,2.55351,0.000907848,0.000907848,0.000907848
48,9170.79,1.58226,1.90772,2.22805,0.40002,0.25214,0.2629,0.11722,1.77175,2.21441,2.63194,0.000891345,0.000891345,0.000891345
49,9361.8,1.54928,1.88014,2.2021,0.45168,0.22796,0.26193,0.11274,1.74664,2.19327,2.58635,0.000874842,0.000874842,0.000874842
50,9552.67,1.55583,1.86191,2.21228,0.42123,0.25493,0.26736,0.11655,1.74065,2.16919,2.58953,0.000858338,0.000858338,0.000858338
51,9743.43,1.54056,1.85348,2.18311,0.38923,0.27483,0.26156,0.11761,1.77759,2.16633,2.62222,0.000841835,0.000841835,0.000841835
52,9934.04,1.55394,1.84325,2.18902,0.39595,0.25803,0.27298,0.11429,1.77313,2.16401,2.58533,0.000825332,0.000825332,0.000825332
53,10124.8,1.54966,1.85557,2.20054,0.447,0.25666,0.26195,0.10868,1.774,2.18592,2.62173,0.000808828,0.000808828,0.000808828
54,10315.7,1.53422,1.84547,2.192,0.36609,0.26531,0.25357,0.10678,1.77744,2.19702,2.62091,0.000792325,0.000792325,0.000792325
55,10506.5,1.52967,1.84441,2.18478,0.47247,0.26341,0.26579,0.10899,1.76838,2.18307,2.57275,0.000775822,0.000775822,0.000775822
56,10697.3,1.53265,1.83391,2.18191,0.52724,0.25428,0.28209,0.11987,1.74457,2.1506,2.61766,0.000759318,0.000759318,0.000759318
57,10888.1,1.52212,1.80905,2.16507,0.36154,0.2674,0.26441,0.11231,1.80143,2.18262,2.6041,0.000742815,0.000742815,0.000742815
58,11078.7,1.52992,1.81465,2.14931,0.37446,0.26557,0.25115,0.1035,1.78631,2.21014,2.70285,0.000726312,0.000726312,0.000726312
59,11269.3,1.53114,1.80749,2.17091,0.45619,0.27041,0.28174,0.1235,1.76577,2.11061,2.57167,0.000709809,0.000709809,0.000709809
60,11459.9,1.52344,1.78801,2.13174,0.45012,0.26011,0.27255,0.11798,1.78276,2.13965,2.57876,0.000693305,0.000693305,0.000693305
61,11650.6,1.49148,1.76126,2.14158,0.41355,0.25769,0.27524,0.1229,1.78165,2.15884,2.57232,0.000676802,0.000676802,0.000676802
62,11841.2,1.49327,1.75155,2.12712,0.38514,0.27622,0.2634,0.1147,1.77041,2.15298,2.56853,0.000660299,0.000660299,0.000660299
63,12031.8,1.49643,1.7719,2.12762,0.44158,0.26727,0.27363,0.11891,1.75773,2.15633,2.59574,0.000643795,0.000643795,0.000643795
64,12222.5,1.48654,1.76709,2.13435,0.38675,0.2778,0.27908,0.12647,1.73889,2.11947,2.55075,0.000627292,0.000627292,0.000627292
65,12413.2,1.48643,1.73491,2.12763,0.49678,0.268,0.28252,0.12361,1.77766,2.12418,2.59771,0.000610789,0.000610789,0.000610789
66,12603.8,1.48605,1.72927,2.13219,0.5011,0.26204,0.27785,0.11948,1.76553,2.11633,2.59574,0.000594286,0.000594286,0.000594286
67,12794.6,1.47631,1.71657,2.13135,0.37586,0.27156,0.26368,0.10838,1.80441,2.17144,2.6269,0.000577782,0.000577782,0.000577782
68,12985.2,1.4848,1.7075,2.10084,0.38286,0.27943,0.27855,0.12363,1.77645,2.09805,2.566,0.000561279,0.000561279,0.000561279
69,13175.9,1.48531,1.72425,2.1168,0.44677,0.27437,0.28584,0.12574,1.77621,2.11678,2.5752,0.000544776,0.000544776,0.000544776
70,13366.4,1.45533,1.68748,2.11121,0.44174,0.28224,0.28227,0.11882,1.8408,2.12006,2.64575,0.000528272,0.000528272,0.000528272
71,13557.1,1.4536,1.69393,2.09563,0.412,0.26971,0.28636,0.12586,1.747,2.13279,2.57227,0.000511769,0.000511769,0.000511769
72,13747.6,1.44772,1.65806,2.08115,0.46866,0.27569,0.28939,0.13149,1.78524,2.08051,2.59593,0.000495266,0.000495266,0.000495266
73,13938.3,1.45203,1.67893,2.06847,0.47069,0.2761,0.28813,0.1319,1.80353,2.07319,2.60264,0.000478762,0.000478762,0.000478762
74,14128.9,1.44401,1.6581,2.07387,0.51016,0.25818,0.28403,0.12696,1.77713,2.0771,2.59991,0.000462259,0.000462259,0.000462259
75,14319.6,1.45662,1.66704,2.08877,0.60111,0.25095,0.29071,0.13047,1.76494,2.07105,2.57747,0.000445756,0.000445756,0.000445756
76,14510.3,1.42937,1.61517,2.04202,0.49505,0.27105,0.28155,0.12208,1.80944,2.09756,2.60807,0.000429253,0.000429253,0.000429253
77,14700.8,1.43407,1.62966,2.06316,0.45885,0.28336,0.28527,0.12772,1.77274,2.07919,2.58717,0.000412749,0.000412749,0.000412749
78,14891.4,1.43608,1.64764,2.0656,0.41471,0.29178,0.28571,0.12957,1.74318,2.07989,2.5731,0.000396246,0.000396246,0.000396246
